<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.03.25	01:00:00	4474.33	4480.97	4467.95	4479.12	1369	0	29
2026.03.25	01:05:00	4479.13	4485.23	4475.21	4484.45	1434	0	29
2026.03.25	01:10:00	4484.54	4484.90	4478.11	4483.29	1267	0	29
2026.03.25	01:15:00	4483.25	4484.25	4476.13	4483.46	1484	0	29
2026.03.25	01:20:00	4483.52	4484.89	4477.64	4478.43	991	0	29
2026.03.25	01:25:00	4478.43	4478.69	4468.11	4470.17	1656	0	31
2026.03.25	01:30:00	4470.14	4470.38	4455.99	4462.93	1792	0	29
2026.03.25	01:35:00	4462.93	4469.92	4462.32	4464.78	1328	0	32
2026.03.25	01:40:00	4464.78	4471.05	4464.50	4468.60	1199	0	32
2026.03.25	01:45:00	4468.60	4479.31	4466.89	4476.07	1532	0	32
2026.03.25	01:50:00	4476.07	4476.15	4469.14	4471.70	1266	0	31
2026.03.25	01:55:00	4471.67	4484.58	4470.70	4484.47	1383	0	30
2026.03.25	02:00:00	4484.49	4485.00	4472.54	4474.87	1464	0	29
2026.03.25	02:05:00	4474.84	4484.51	4474.72	4480.46	1293	0	30
2026.03.25	02:10:00	4480.25	4484.72	4479.62	4484.61	1187	0	29
2026.03.25	02:15:00	4484.61	4499.29	4483.35	4498.20	1586	0	29
2026.03.25	02:20:00	4498.22	4502.71	4495.85	4502.21	1579	0	29
2026.03.25	02:25:00	4502.24	4509.96	4499.71	4509.94	1625	0	29
2026.03.25	02:30:00	4509.95	4512.06	4505.17	4506.08	1606	0	29
2026.03.25	02:35:00	4506.09	4546.23	4504.47	4546.12	1914	0	29
2026.03.25	02:40:00	4546.11	4546.35	4531.79	4539.75	1770	0	29
2026.03.25	02:45:00	4539.72	4549.86	4532.26	4549.83	1762	0	29
2026.03.25	02:50:00	4549.84	4551.56	4536.26	4543.65	1710	0	29
2026.03.25	02:55:00	4543.70	4550.76	4542.53	4546.75	1713	0	29
2026.03.25	03:00:00	4546.76	4553.85	4537.51	4553.33	1949	0	29
2026.03.25	03:05:00	4553.37	4554.72	4541.28	4548.85	1775	0	29
2026.03.25	03:10:00	4548.83	4554.81	4548.19	4550.39	1683	0	29
2026.03.25	03:15:00	4550.34	4551.69	4538.60	4546.17	1840	0	29
2026.03.25	03:20:00	4546.11	4547.88	4540.64	4542.78	1681	0	29
2026.03.25	03:25:00	4542.80	4556.97	4541.94	4553.79	1661	0	29
2026.03.25	03:30:00	4553.77	4561.27	4546.80	4559.97	1778	0	29
2026.03.25	03:35:00	4559.94	4567.23	4559.56	4566.18	1622	0	29
2026.03.25	03:40:00	4566.55	4570.05	4565.19	4567.77	1545	0	29
2026.03.25	03:45:00	4567.77	4571.98	4563.43	4565.59	1552	0	29
2026.03.25	03:50:00	4565.59	4569.72	4561.84	4569.23	1565	0	29
2026.03.25	03:55:00	4569.25	4569.25	4561.97	4563.19	1509	0	29
2026.03.25	04:00:00	4563.12	4570.47	4552.34	4563.96	2161	0	29
2026.03.25	04:05:00	4563.71	4576.31	4563.41	4576.10	1791	0	29
2026.03.25	04:10:00	4576.10	4578.67	4569.78	4570.64	1756	0	29
2026.03.25	04:15:00	4570.56	4575.58	4567.96	4575.38	1811	0	29
2026.03.25	04:20:00	4575.37	4578.48	4571.63	4574.12	1690	0	29
2026.03.25	04:25:00	4574.12	4578.24	4572.57	4575.45	1806	0	29
2026.03.25	04:30:00	4575.39	4585.15	4574.12	4584.54	1755	0	29
2026.03.25	04:35:00	4584.55	4590.12	4583.86	4588.51	1686	0	29
2026.03.25	04:40:00	4588.57	4591.01	4584.20	4585.11	1757	0	29
2026.03.25	04:45:00	4584.97	4596.88	4583.66	4596.40	1662	0	29
2026.03.25	04:50:00	4596.13	4600.97	4593.72	4598.34	1661	0	29
2026.03.25	04:55:00	4598.35	4600.56	4594.33	4594.74	1727	0	29
2026.03.25	05:00:00	4594.80	4596.12	4585.71	4589.22	1881	0	29
2026.03.25	05:05:00	4589.09	4592.79	4581.70	4581.70	1758	0	30
2026.03.25	05:10:00	4581.79	4587.87	4579.99	4585.62	1780	0	29
2026.03.25	05:15:00	4585.64	4588.31	4584.63	4587.43	1333	0	29
2026.03.25	05:20:00	4587.36	4591.76	4584.97	4586.61	1413	0	29
2026.03.25	05:25:00	4586.60	4592.57	4585.42	4587.09	1353	0	29
2026.03.25	05:30:00	4587.08	4588.10	4581.28	4586.97	1724	0	29
2026.03.25	05:35:00	4587.00	4597.04	4585.86	4592.21	1615	0	29
2026.03.25	05:40:00	4592.29	4597.20	4590.92	4593.47	1533	0	29
2026.03.25	05:45:00	4593.53	4602.50	4589.77	4590.58	1733	0	29
2026.03.25	05:50:00	4590.55	4592.79	4584.09	4586.41	1639	0	29
2026.03.25	05:55:00	4586.48	4586.96	4581.79	4583.59	1490	0	29
2026.03.25	06:00:00	4583.60	4586.15	4573.63	4575.56	1494	0	29
2026.03.25	06:05:00	4575.59	4582.51	4574.22	4575.45	1573	0	29
